Spot,    Julian Date,       Long,     Lat
1,   2452287.666852,  -10.07953,  28.78427
1,   2452288.666852,   2.61480,  28.77862
1,   2452289.666852, 15.19449,  28.75933
1,   2452290.666852,   27.91883,  28.79560
1,   2452291.666852,   40.69690,  28.77063
1,   2452292.666852,   53.32196,  28.54835
2,   2452287.666852,  -63.34423,  11.22475
2,   2452288.666852,  -50.18737,  11.13295
2,   2452289.666852,  -36.91799,  10.81728
2,   2452290.666852,  -23.63639,  10.87888
2,   2452291.666852,  -10.35878,  10.68273
2,   2452292.666852,    2.77868,  10.57404
5,   2452287.666852,  -55.72610,  6.53421
5,   2452288.666852,  -42.23665,   6.58500
5,   2452289.666852,  -28.88467,   6.67708
5,   2452290.666852,  -15.43770,   6.75467
5,   2452291.666852,   -2.09618,   6.66103
5,   2452292.666852,   11.35724,   6.63981
3,   2452287.666852,  -48.94794,  -4.91637
3,   2452288.666852,  -35.52172,  -4.67615
3,   2452289.666852,  -22.35579,  -4.61094
3,   2452290.666852,   -9.06350,  -4.43433
3,   2452291.666852,    4.22701,  -4.46655
3,   2452292.666852,   17.66410,  -4.36811
4,   2452287.666852,  -74.94192, -10.7711
4,   2452288.666852,  -61.60847, -10.54857
4,   2452289.666852,  -48.34271, -10.91359
4,   2452290.666852,  -35.41915, -11.10342
4,   2452291.666852,  -22.39611, -11.25159
4,   2452292.666852,   -9.38081, -11.41672

